district,year,cloudburst_probability,extreme_rainfall_days,cloudburst_severity
Patna,1992,0.0,0,0.0
Patna,1993,0.0,0,0.0
Patna,1994,0.0,0,0.0
Patna,1995,0.0,0,0.0
Patna,1996,0.0,0,0.0
Patna,1997,0.0,0,0.0
Patna,1998,0.0,0,0.0
Patna,1999,0.0,0,0.0
Patna,2000,0.0,0,0.0
Patna,2001,5.476946778947872e-05,0,0.01
Patna,2002,0.0,0,0.0
Patna,2003,0.0,0,0.0
Patna,2004,0.0,0,0.0
Patna,2005,0.0,0,0.0
Patna,2006,0.0001916666773059232,0,0.05997196373357041
Patna,2007,0.00017745097576488965,0,0.024982766923675827
Patna,2008,0.00027387336681695485,0,0.07496377888818852
Patna,2009,0.0,0,0.0
Patna,2010,0.0,0,0.0
Patna,2011,2.729974732664299e-05,0,0.009991707521551334
Patna,2012,1.3675911017948861e-05,0,0.004991707521551334
Patna,2013,2.7397260273972603e-05,0,0.01
Patna,2014,1.3698630136986302e-05,0,0.005
Patna,2015,0.0,0,0.0
Patna,2016,0.0,0,0.0
Patna,2017,9.585073670158285e-05,0,0.03498551889607774
Patna,2018,0.0,0,0.0
Patna,2019,0.00021849524257113286,0,0.03497509710175936
Patna,2020,0.0,0,0.0
